Geography,Geographic Area Name,total,noncitizen,citizen
5001800US3204,"Congressional District 4 (118th Congress), Nevada",815873,70184,745689
5001800US3301,"Congressional District 1 (118th Congress), New Hampshire",697780,15080,682700
5001800US3302,"Congressional District 2 (118th Congress), New Hampshire",704274,21886,682388
5001800US3401,"Congressional District 1 (118th Congress), New Jersey",777528,39922,737606
5001800US3402,"Congressional District 2 (118th Congress), New Jersey",786799,39639,747160
5001800US3403,"Congressional District 3 (118th Congress), New Jersey",782374,42103,740271
5001800US3404,"Congressional District 4 (118th Congress), New Jersey",795843,31854,763989
5001800US3405,"Congressional District 5 (118th Congress), New Jersey",767729,70271,697458
5001800US3406,"Congressional District 6 (118th Congress), New Jersey",766057,120360,645697
5001800US3407,"Congressional District 7 (118th Congress), New Jersey",778678,46455,732223
5001800US3408,"Congressional District 8 (118th Congress), New Jersey",749983,189324,560659
5001800US3409,"Congressional District 9 (118th Congress), New Jersey",770658,113881,656777
5001800US3410,"Congressional District 10 (118th Congress), New Jersey",768591,114294,654297
5001800US3411,"Congressional District 11 (118th Congress), New Jersey",775849,60386,715463
5001800US3412,"Congressional District 12 (118th Congress), New Jersey",770752,124473,646279
5001800US3501,"Congressional District 1 (118th Congress), New Mexico",705390,29487,675903
5001800US3502,"Congressional District 2 (118th Congress), New Mexico",710078,54509,655569
5001800US3503,"Congressional District 3 (118th Congress), New Mexico",698903,37092,661811
5001800US3601,"Congressional District 1 (118th Congress), New York",775252,40235,735017
5001800US3602,"Congressional District 2 (118th Congress), New York",777290,65448,711842
5001800US3603,"Congressional District 3 (118th Congress), New York",760691,58596,702095
5001800US3604,"Congressional District 4 (118th Congress), New York",767277,58661,708616
5001800US3605,"Congressional District 5 (118th Congress), New York",737913,101495,636418
5001800US3606,"Congressional District 6 (118th Congress), New York",706077,168190,537887
5001800US3607,"Congressional District 7 (118th Congress), New York",720452,123198,597254
5001800US3608,"Congressional District 8 (118th Congress), New York",740016,87372,652644
5001800US3609,"Congressional District 9 (118th Congress), New York",725054,94872,630182
5001800US3610,"Congressional District 10 (118th Congress), New York",719080,95754,623326
5001800US3611,"Congressional District 11 (118th Congress), New York",753280,88466,664814
5001800US3612,"Congressional District 12 (118th Congress), New York",734996,94011,640985
5001800US3613,"Congressional District 13 (118th Congress), New York",726044,131091,594953
5001800US3614,"Congressional District 14 (118th Congress), New York",740563,148316,592247
5001800US3615,"Congressional District 15 (118th Congress), New York",714768,122209,592559
5001800US3616,"Congressional District 16 (118th Congress), New York",765060,90939,674121
5001800US3617,"Congressional District 17 (118th Congress), New York",772624,58519,714105
5001800US3618,"Congressional District 18 (118th Congress), New York",784352,46895,737457
5001800US3619,"Congressional District 19 (118th Congress), New York",769461,25895,743566
5001800US3620,"Congressional District 20 (118th Congress), New York",783546,32628,750918
5001800US3621,"Congressional District 21 (118th Congress), New York",767195,10644,756551
5001800US3622,"Congressional District 22 (118th Congress), New York",762999,22449,740550
5001800US3623,"Congressional District 23 (118th Congress), New York",764335,6939,757396
5001800US3624,"Congressional District 24 (118th Congress), New York",767751,10361,757390
5001800US3625,"Congressional District 25 (118th Congress), New York",766396,19615,746781
5001800US3626,"Congressional District 26 (118th Congress), New York",768744,27414,741330
5001800US3701,"Congressional District 1 (118th Congress), North Carolina",754008,18383,735625
5001800US3702,"Congressional District 2 (118th Congress), North Carolina",784882,75114,709768
5001800US3703,"Congressional District 3 (118th Congress), North Carolina",768524,24308,744216
5001800US3704,"Congressional District 4 (118th Congress), North Carolina",769250,58321,710929
5001800US3705,"Congressional District 5 (118th Congress), North Carolina",750316,28278,722038
5001800US3706,"Congressional District 6 (118th Congress), North Carolina",765747,39831,725916
5001800US3707,"Congressional District 7 (118th Congress), North Carolina",794214,24936,769278
5001800US3708,"Congressional District 8 (118th Congress), North Carolina",776092,31896,744196
5001800US3709,"Congressional District 9 (118th Congress), North Carolina",771994,31350,740644
5001800US3710,"Congressional District 10 (118th Congress), North Carolina",774062,18391,755671
5001800US3711,"Congressional District 11 (118th Congress), North Carolina",763974,23690,740284
5001800US3712,"Congressional District 12 (118th Congress), North Carolina",772165,71999,700166
5001800US3713,"Congressional District 13 (118th Congress), North Carolina",799277,47232,752045
5001800US3714,"Congressional District 14 (118th Congress), North Carolina",790986,68041,722945
5001800US3800,"Congressional District (at Large) (118th Congress), North Dakota",783926,16014,767912
5001800US3901,"Congressional District 1 (118th Congress), Ohio",796831,35648,761183
5001800US3902,"Congressional District 2 (118th Congress), Ohio",787945,5550,782395
5001800US3903,"Congressional District 3 (118th Congress), Ohio",784597,55750,728847
5001800US3904,"Congressional District 4 (118th Congress), Ohio",803311,16897,786414
5001800US3905,"Congressional District 5 (118th Congress), Ohio",790574,13732,776842
5001800US3906,"Congressional District 6 (118th Congress), Ohio",773456,7698,765758
5001800US3907,"Congressional District 7 (118th Congress), Ohio",769701,18501,751200
5001800US3908,"Congressional District 8 (118th Congress), Ohio",786259,22553,763706
5001800US3909,"Congressional District 9 (118th Congress), Ohio",776106,11615,764491
5001800US3910,"Congressional District 10 (118th Congress), Ohio",784462,18089,766373
5001800US3911,"Congressional District 11 (118th Congress), Ohio",772345,25099,747246
5001800US3912,"Congressional District 12 (118th Congress), Ohio",804132,7785,796347
5001800US3913,"Congressional District 13 (118th Congress), Ohio",781848,17848,764000
5001800US3914,"Congressional District 14 (118th Congress), Ohio",784185,9755,774430
5001800US3915,"Congressional District 15 (118th Congress), Ohio",790183,37306,752877
5001800US4001,"Congressional District 1 (118th Congress), Oklahoma",812132,46246,765886
5001800US4002,"Congressional District 2 (118th Congress), Oklahoma",811280,9340,801940
5001800US4003,"Congressional District 3 (118th Congress), Oklahoma",803437,42075,761362
5001800US4004,"Congressional District 4 (118th Congress), Oklahoma",808026,20443,787583
5001800US4005,"Congressional District 5 (118th Congress), Oklahoma",818949,27828,791121
5001800US4101,"Congressional District 1 (118th Congress), Oregon",710371,51826,658545
5001800US4102,"Congressional District 2 (118th Congress), Oregon",704844,24070,680774
5001800US4103,"Congressional District 3 (118th Congress), Oregon",681430,42305,639125
5001800US4104,"Congressional District 4 (118th Congress), Oregon",710184,17375,692809
5001800US4105,"Congressional District 5 (118th Congress), Oregon",709945,22698,687247
5001800US4106,"Congressional District 6 (118th Congress), Oregon",716584,46694,669890
5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",763720,33376,730344
5001800US4202,"Congressional District 2 (118th Congress), Pennsylvania",713964,69837,644127
5001800US4203,"Congressional District 3 (118th Congress), Pennsylvania",768800,35481,733319
5001800US4204,"Congressional District 4 (118th Congress), Pennsylvania",781948,28389,753559
5001800US4205,"Congressional District 5 (118th Congress), Pennsylvania",757986,43163,714823
5001800US4206,"Congressional District 6 (118th Congress), Pennsylvania",777885,48771,729114
5001800US4207,"Congressional District 7 (118th Congress), Pennsylvania",778593,38962,739631
5001800US4208,"Congressional District 8 (118th Congress), Pennsylvania",764570,31430,733140
5001800US4209,"Congressional District 9 (118th Congress), Pennsylvania",765968,11550,754418
5001800US4210,"Congressional District 10 (118th Congress), Pennsylvania",781862,28666,753196
5001800US4211,"Congressional District 11 (118th Congress), Pennsylvania",773134,16275,756859
5001800US4212,"Congressional District 12 (118th Congress), Pennsylvania",752466,23231,729235
